"OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual"
"BME_TW,RAIN_G,5M,VAL,15:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,14:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,13:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:35 11-SEP-2011,0.000000,"
