Street,Postal Code,No of spaces,Location,TAG Serial No
Russell Ave,D3,1,No 73,02325
Saint Clements Rd,D9,1,No 7,6549
Saint Malachys Rd Glasnevin,D9,1,,13762
Sandymount,D4,1,at lamp no.17 east side of road,10293
Sandymount,D4,1,20.5 mtrs north west of lamp no. 17,10294
Sandymount Castle Park,D4,1,No 1,10078
Sandymount Green,D4,1,No 2A,044
Sandymount Green,D4,1,L/S 8,03366
Sandymount Green,D4,1,Seafort Ave,03363
Sandymount Green,D4,1,No 9,
Sandymount Green,D4,1,Claremont,
Sandymount Road,D4,1,Quinnsworth,03356
Seafort Ave,D4,1,In Triangle,6548
Seamus Ennis Rd,D11,1,Molloys Liquor,11292
Shandon Park,D7,1,At 51 Shandon Park,
Shandon Park,D7,1,No 52,5488
Shantella Drive,,1,No 8,
Shelbourne Road,D4,2,College,0228
Sherrard St Upr,D1,1,Sth Side,04224
South Circular Rd,D8,1,No 712,14084
South Circular Rd S/side,D8,1,No 449,8584
South King St,D2,1,,
South Lotts Rd,D4,1,No 17,8341
South William St,D2,1,,
St Agnes Rd W/side,D12,1,,8195
St Bridgets Ave,D3,1,No 12/13,8196/7615
St Broc's Cottages,D4,1,No 3,6378
St Canices Rd Finglas,D11,1,Sacred Heart School,6381
St Clements Rd,D9,1,No 3,7456
St Ignatius Road,D7,1,No 70,01801
St Ignatius Road,D7,1,No 56,0831
St Jarlath Road,D7,1,No 45,0474
St Josephs Place,D7,1,No 22,11491
St Kevins Parade,D8,1,No 37/38,8587
St Maignenns Terrace,,1,No 5,
St Margarets Ave,D5,1,No 19/21,9939
St Marys Park,,1,no 10,
St Marys Rd,D3,1,House No 60/62,10207
St Marys Rd North Eastern Side,D3,1,No 50-52,8755
St Patricks Rd W/side,D9,1,North of Annes Rd,6140
St Patricks Road,D9,1,Nos 26/27,0676
St Stephens Green North,D2,1,No 18,9610
Stephen St Lower,D2,2,At Mercers Health Centre,
Stephens Rd,D8,1,No 50,
Stephens Street Lower,D1,1,North Side,
Strand St Great,D1,2,,0311
Summer Street North,D1,1,No 22,11211
Sussex Rd L/S,D4,1,No 8,03609
Sussex Road,D4,1,No 3,0237
Talbot Place,D1,1,Garda Stan side,
Talbot St,D1,1,East of Corporation St,
Talbot Street,,2,Clerys near Gardiner Street South Side,
Terenure Park,,1,no 40,
The Thatch Rd E/side,D9,1,No 430,8107
Thomas St,D8,1,Chadwicks,
Tivoli Ave,,1,no 6,
Tower Ave W/side,D6,1,No12/13,11700
Tritonville Court,,1,L/S no 2,
Tyrconnell Rd,D8,1,,03245
Tyrconnell Rd,D8,1,,03245
Vernon Court,,1,At school,
Verschoyle Court,,1,off Stephens place,
Watermill Rd,D5,1,South east of Main St,10143
Wellington Quay,D2,1,,
Whitworth Tce N/side,D9,1,No 1 + 2,8436
Wigan Road,,1,No 11,
Windsor Villas,D3,1,No 2,04097
Winsor Terrace,,1,L/s no 3,
